Fiscal Year;Quarter;startDate;Durasi /Jam;Nama Kegiatan;Program;Segmen;Total Peserta;Govt;nonGovt
2021;"Q4";2021-04-20 00:00:00,000;3;"Showcase Schools – Session 2: SMPK BPK Penabur Cimahi ";"ShowcaseSchool";"K-12";15;0;15
2021;"Q4";2021-06-15 00:00:00,000;3;"Showcase Schools – Session 2: SD Al Azhar 31 Yogyakarta ";"ShowcaseSchool";"K-12";28;0;28
2021;"Q4";2021-06-18 00:00:00,000;3;"Showcase Schools – Session 3: SD Al Azhar 31 Yogyakarta";"ShowcaseSchool";"K-12";25;0;25
2021;"Q4";2021-06-24 00:00:00,000;3;"Showcase Schools – Session 2: SMAK BPK Penabur Bandarlampung";"ShowcaseSchool";"K-12";26;0;26
2021;"Q4";2021-04-01 00:00:00,000;24;"Pelatihan Power BI Vads";"PremiumTraining";"Corporate";15;0;15
2021;"Q4";2021-06-15 00:00:00,000;15;"Pelatihan Power BI Unilever";"PremiumTraining";"Corporate";3;0;3
2021;"Q1";2020-09-15 00:00:00,000;4;"Azure Fundamental for Higher Ed ";"AzureHigherEd";"HigherEd";22;12;10
2021;"Q1";2020-09-22 00:00:00,000;4;"Designing Azure for Academic Infrastructure ";"AzureHigherEd";"HigherEd";53;22;31
2021;"Q1";2020-09-28 00:00:00,000;4;"Designing Virtual Labs with Azure";"AzureHigherEd";"HigherEd";31;18;13
2021;"Q1";2020-09-04 00:00:00,000;3;"Creating A Virtual Classroom using Microsoft Teams ";"GTP";"HigherEd";96;96;0
2021;"Q1";2020-09-28 00:00:00,000;6;"Creating Smart Classroom with Microsoft 365 ";"GTP";"HigherEd";39;39;0
2021;"Q2";2020-11-30 00:00:00,000;3;"Batch 1 - Getting Started with AI on Azure";"AzureAI";"HigherEd";79;79;0
2021;"Q2";2020-12-01 00:00:00,000;3;"Batch 1 - No-Code Machine Learning and Natural Language";"AzureAI";"HigherEd";56;56;0
2021;"Q2";2020-12-04 00:00:00,000;3;"Batch 1 - Exploring Computer Vision and Conversational AI";"AzureAI";"HigherEd";39;39;0
2021;"Q2";2020-12-14 00:00:00,000;3;"Batch 3 – Getting Started with AI on Azure ";"AzureAI";"HigherEd";87;87;0
2021;"Q2";2020-12-15 00:00:00,000;3;"Batch 3 – No-Code Machine Learning and Natural Language Processing ";"AzureAI";"HigherEd";41;41;0
2021;"Q2";2020-12-18 00:00:00,000;3;"Batch 3 – Exploring Computer Vision and Conversational AI ";"AzureAI";"HigherEd";23;23;0
2021;"Q2";2020-10-05 00:00:00,000;3;"Improving Productivity in Higher Ed with Office 365 ";"GTP";"HigherEd";63;63;0
2021;"Q2";2020-10-12 00:00:00,000;3;"Remote Learning Method During COVID-19 with Microsoft Teams ";"GTP";"HigherEd";47;47;0
2021;"Q2";2020-10-14 00:00:00,000;3;"Microsoft Teams for Education Essentials ";"GTP";"HigherEd";9;9;0
2021;"Q2";2020-10-15 00:00:00,000;3;"Microsoft Teams Education for Advanced ";"GTP";"HigherEd";9;9;0
2021;"Q2";2020-10-19 00:00:00,000;3;"OneNote and Class Notebook for Higher Ed ";"GTP";"HigherEd";36;36;0
2021;"Q2";2020-11-12 00:00:00,000;3;"Microsoft Teams for Education Essentials ";"GTP";"HigherEd";67;67;0
2021;"Q2";2020-11-19 00:00:00,000;3;"Microsoft Teams for Education Advanced";"GTP";"HigherEd";55;55;0
2021;"Q2";2020-11-24 00:00:00,000;3;"Microsoft Teams for Education Essentials";"GTP";"HigherEd";58;58;0
2021;"Q2";2020-11-25 00:00:00,000;3;"Microsoft Teams for Education Advanced ";"GTP";"HigherEd";41;41;0
2021;"Q2";2020-11-26 00:00:00,000;3;"Outcome Based Education Model Implementation with Microsoft 365 ";"GTP";"HigherEd";43;43;0
2021;"Q2";2020-12-02 00:00:00,000;3;"Power BI Essentials";"GTP";"HigherEd";19;19;0
2021;"Q2";2020-12-03 00:00:00,000;3;"Power BI Advanced ";"GTP";"HigherEd";16;16;0
2021;"Q2";2020-12-08 00:00:00,000;3;"Improving Productivity In Higher Education with Office 365 ";"GTP";"HigherEd";27;27;0
2021;"Q2";2020-10-27 00:00:00,000;3;"Microsoft 365 Administration Workshop ";"M365";"K-12";3;3;0
2021;"Q2";2020-11-05 00:00:00,000;3;"Microsoft Teams Administration Workshop";"M365";"K-12";5;5;0
2021;"Q2";2020-11-09 00:00:00,000;3;"Microsoft 365 Identity with Azure Active Directory ";"M365";"K-12";5;5;0
2021;"Q2";2020-10-08 00:00:00,000;3;"Global Microsoft 365 Developer Bootcamp 2020 ";"M365";"K-12";58;15;43
2021;"Q2";2020-10-22 00:00:00,000;1;"Power BI Capabilities and Features ";"MAU";"HigherEd&K-12";1;1;0
2021;"Q2";2020-10-27 00:00:00,000;1;"Lightweight Directory Access Protocol ";"MAU";"HigherEd&K-12";5;5;0
2021;"Q2";2020-10-27 00:00:00,000;1;"UI Discussion: Workshop Plan ";"MAU";"HigherEd&K-12";5;5;0
2021;"Q2";2020-11-13 00:00:00,000;1;"UNPAD Discussion Series: SSO and Azure AD";"MAU";"HigherEd&K-12";3;3;0
2021;"Q3";2021-03-04 00:00:00,000;3;"Creating An App Solution for Higher Ed Institution with Power Platforms ";"GTP";"HigherEd";65;65;0
2021;"Q3";2021-03-04 00:00:00,000;3;"Office 365 for Research ";"GTP";"HigherEd";53;53;0
2021;"Q3";2021-03-05 00:00:00,000;3;"Tracking The Successful of Learning in Higher Ed with Power BI";"GTP";"HigherEd";259;259;0
2021;"Q3";2021-03-12 00:00:00,000;3;"Creating A Teaching and Learning Scheduling Application in Higher Ed using Power Apps ";"GTP";"HigherEd";261;261;0
2021;"Q4";2021-04-20 00:00:00,000;3;"UT Series 1: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";439;439;0
2021;"Q4";2021-04-23 00:00:00,000;3;"UT Series 2: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";114;114;0
2021;"Q4";2021-04-30 00:00:00,000;3;"UI Series: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";30;30;0
2021;"Q4";2021-05-05 00:00:00,000;3;"ITB Series: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";13;13;0
2021;"Q3";2021-03-29 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Indonesia ";"MicroCredentials";"HigherEd";31;31;0
2021;"Q3";2021-03-30 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Gadjah Mada ";"MicroCredentials";"HigherEd";13;13;0
2021;"Q3";2021-03-31 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Institut Teknologi Sepuluh Nopember";"MicroCredentials";"HigherEd";8;8;0
2021;"Q4";2021-04-20 00:00:00,000;3;"Showcase Schools – Session 1: SMP N 13 Sinjai ";"ShowcaseSchool";"K-12";24;24;0
2021;"Q4";2021-05-25 00:00:00,000;3;"Showcase Schools – Session 1: SMP N 2 Pangsid";"ShowcaseSchool";"K-12";35;35;0
2021;"Q4";2021-06-02 00:00:00,000;3;"Showcase Schools – Session 2: SMP N 2 Pangsid";"ShowcaseSchool";"K-12";15;15;0
2021;"Q4";2021-06-09 00:00:00,000;3;"Showcase Schools – Session 2: SMP N 13 Sinjai ";"ShowcaseSchool";"K-12";20;20;0
2021;"Q4";2021-06-08 00:00:00,000;3;"Showcase Schools – Session 1: SMA N 1 Banguntapan ";"ShowcaseSchool";"K-12";34;34;0
2021;"Q4";2021-06-09 00:00:00,000;3;"Showcase Schools – Session 2: SMA N 1 Banguntapan ";"ShowcaseSchool";"K-12";21;21;0
