Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Segmen;Quarter;Total Peserta;Durasi /Jam;Govt;nonGovt
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-06-10 00:00:00,000;"10/06/2020";"K-12";"Q4 ";"6 ";;;
2020;"GTP ";"Managing Document using OneDrive for Business and SharePoint Online ";2020-06-12 00:00:00,000;"12/06/2020";"HigherEd";"Q4 ";"19 ";;;
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-06-12 00:00:00,000;"12/06/2020";"K-12";"Q4 ";"7 ";;;
2020;"GTP ";"Project Collaboration using Teams and Planner ";2020-06-16 00:00:00,000;"16/06/2020";"HigherEd";"Q4 ";"268 ";;;
2020;"GTP ";"Build Asynchronous Learning with OneNote Class Notebook ";2020-06-16 00:00:00,000;"16/06/2020";"K-12";"Q4 ";"133 ";;;
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-06-18 00:00:00,000;"18/06/2020";"K-12";"Q4 ";"143 ";;;
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-06-18 00:00:00,000;"18/06/2020";"K-12";"Q4 ";"74 ";;;
2020;"GTP ";"Creating A Virtual Classroom with Microsoft Teams ";2020-06-19 00:00:00,000;"19/06/2020";"HigherEd";"Q4 ";"18 ";;;
2020;"GTP ";"Managing Document using OneDrive for Business and SharePoint Online ";2020-06-29 00:00:00,000;"29/06/2020";"HigherEd";"Q4 ";"129 ";;;
2020;"GTP ";"Video Editing and Photo Editing with Windows  ";2020-06-29 00:00:00,000;"29/06/2020";"K-12";"Q4 ";"105 ";;;
2020;"GTP ";"Virtual Classroom Management with Microsoft Teams ";2020-06-30 00:00:00,000;"30/06/2020";"K-12";"Q4 ";"44 ";;;
2020;"GTP ";"Microsoft Edge for Education ";2020-06-30 00:00:00,000;"30/06/2020";"K-12";"Q4 ";"13 ";;;
2020;"GTP ";"Office 365 for Research ";2020-06-30 00:00:00,000;"30/06/2020";"HigherEd";"Q4 ";"31 ";;;
